,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
387,387,Hans Raj Hans,NORTH WEST DELHI,BJP,0,10th Pass,130937732, 13 Crore+,47897494, 4 Crore+ 
388,388,Magunta Sreenivasulu Reddy,ONGOLE,YSRCP,0,Graduate,266583686, 26 Crore+,91302133, 9 Crore+ 
389,389,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,OSMANABAD,Shiv Sena (Uddhav Balasaheb Thackeray), 4 ,12th Pass,50299295, 5 Crore+,10045858, 1 Crore+ 
390,390,Lorho S. Pfoze,OUTER MANIPUR,NPF,0,Graduate Professional,0,,0,  
391,391,V K Sreekandan,PALAKKAD,INC, 7 ,Graduate,6356399, 63 Lacs+,2709000, 27 Lacs+ 
392,392,Vishnu Dayal Ram,PALAMU,BJP,0,Graduate,32273873, 3 Crore+,90922, 90 Thou+ 
393,393,Gavit Rajendra Dhedya,PALGHAR,SHS,0,Graduate,87616920, 8 Crore+,30223375, 3 Crore+ 
394,394,P. P. Chaudhary,PALI,BJP,0,Graduate Professional,385111923, 38 Crore+,7278041, 72 Lacs+ 
395,395,Ratansinh Rathod,PANCHMAHAL,BJP,0,Graduate Professional,10260663, 1 Crore+,1081611, 10 Lacs+ 
396,396,Jadhav Sanjay (Bandu) Haribhau,PARBHANI,Shiv Sena (Uddhav Balasaheb Thackeray), 6 ,10th Pass,41040011, 4 Crore+,4519583, 45 Lacs+ 
397,397,Dr. Sanjay Jaiswal,PASCHIM CHAMPARAN,BJP, 5 ,Post Graduate,199404885, 19 Crore+,67370030, 6 Crore+ 
398,398,Ram Kripal Yadav,PATALIPUTRA,BJP,0,Graduate,29213467, 2 Crore+,1717310, 17 Lacs+ 
399,399,Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,47373221, 4 Crore+,5613860, 56 Lacs+ 
400,400,Anto Antony,PATHANAMTHITTA,INC, 1 ,Graduate,0,,7723227, 77 Lacs+ 
401,401,Preneet Kaur,PATIALA,INC,0,Graduate,635973757, 63 Crore+,42453369, 4 Crore+ 
402,402,Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,235275591, 23 Crore+,0,  
403,403,Venkatesh Netha Borlakunta,PEDDAPALLE,TRS,0,Doctorate,16597300, 1 Crore+,0,  
404,404,Paarivendhar T R,PERAMBALUR,DMK, 2 ,Post Graduate,972730368, 97 Crore+,65935070, 6 Crore+ 
405,405,Keshari Devi Patel,PHULPUR,BJP, 2 ,Post Graduate,172707104, 17 Crore+,6505194, 65 Lacs+ 
406,406,Feroze Varun Gandhi,PILIBHIT,BJP,0,Post Graduate,603200539, 60 Crore+,28952800, 2 Crore+ 
407,407,K Shanmugasundaram,POLLACHI,DMK,0,Graduate Professional,133109284, 13 Crore+,13360639, 1 Crore+ 
408,408,E T Mohammed Basheer,PONNANI,IUML,0,10th Pass,8103274, 81 Lacs+,0,  
409,409,Rameshbhai Dhaduk,PORBANDAR,BJP,0,10th Pass,357564783, 35 Crore+,217944697, 21 Crore+ 
410,410,Sangam Lal Gupta,PRATAPGARH,BJP, 2 ,8th Pass,0,,8895225, 88 Lacs+ 
411,411,V. Vaithilingam,PUDUCHERRY,INC,0,Graduate,108015548, 10 Crore+,520989, 5 Lacs+ 
412,412,Pinaki Misra,PURI,BJD,0,Graduate Professional,1174701344, 117 Crore+,21932742, 2 Crore+ 
413,413,Santosh Kumar,PURNIA,JD(U), 1 ,12th Pass,41036294, 4 Crore+,2500000, 25 Lacs+ 
414,414,Jyotirmay Singh Mahato,PURULIA,BJP, 2 ,Graduate Professional,2250540, 22 Lacs+,456100, 4 Lacs+ 
415,415,Radha Mohan Singh,PURVI CHAMPARAN,BJP, 1 ,Graduate,33791375, 3 Crore+,1146627, 11 Lacs+ 
416,416,Sonia Gandhi,RAE BARELI,INC, 1 ,Others,118263916, 11 Crore+,0,  
417,417,Raja Amareshwara Naik,RAICHUR,BJP,0,Graduate Professional,30638375, 3 Crore+,678532, 6 Lacs+ 
418,418,Tatkare Sunil Dattatray,RAIGAD,NCP,0,Others,127487277, 12 Crore+,3221073, 32 Lacs+ 
419,419,Debasree Chaudhuri,RAIGANJ,BJP, 2 ,Post Graduate,6139123, 61 Lacs+,823416, 8 Lacs+ 
420,420,Gomati,RAIGARH,BJP,0,12th Pass,0,,0,  
421,421,Sunil Kumar Soni,RAIPUR,BJP,0,Graduate,46068126, 4 Crore+,2482214, 24 Lacs+ 
422,422,Margani Bharat Ram,RAJAHMUNDRY,YSRCP, 2 ,Graduate,458205360, 45 Crore+,17814757, 1 Crore+ 
423,423,P.V.Midhun Reddy,RAJAMPET,YSRCP, 3 ,Post Graduate,665085701, 66 Crore+,205473477, 20 Crore+ 
424,424,Rodmal Nagar,RAJGARH,BJP,0,Graduate,40198295, 4 Crore+,3921362, 39 Lacs+ 
425,425,Kundaria Mohanbhai,RAJKOT,BJP,0,8th Pass,68818120, 6 Crore+,16566856, 1 Crore+ 
426,426,Vijay Kumar Hansdak,RAJMAHAL,JMM,0,10th Pass,12919555, 1 Crore+,2743560, 27 Lacs+ 
427,427,Santosh Pandey,RAJNANDGAON,BJP,0,Graduate Professional,24861970, 2 Crore+,1519820, 15 Lacs+ 
428,428,Diya Kumari,RAJSAMAND,BJP,0,Others,165984623, 16 Crore+,0,  
429,429,K. Navaskani,RAMANATHAPURAM,IUML, 1 ,12th Pass,364738171, 36 Crore+,47008615, 4 Crore+ 
